feature,importance
does,0.0012089104394166447
czech republic,0.0012088372825264666
oulu,0.001208455028807665
different,0.0012075529368923098
doubled,0.0012062171188473522
management,0.001204461165092437
32,0.0012042871670383188
district,0.0012029636092837728
premises,0.001202750989253269
se,0.0012019176567332661
see,0.001201410078061722
personal,0.001201213740695043
group is,0.0012010844478199932
real estate,0.0011983361916741665
internet,0.0011982784527641193
positions,0.0011978485722499877
mln and,0.0011972518534500115
profit in,0.0011965060118785985
eur up,0.0011964654755575652
14 percent,0.001196341035053734
customers,0.0011959310575765472
tons of,0.0011954914565944364
31,0.0011950329644017333
70,0.0011942202086190762
million year,0.0011938215210491284
nokia siemens,0.0011936820165480838
used in,0.0011929441139983238
republic,0.001192273245460366
for january,0.0011918579660256997
valued,0.0011910286849025123
does not,0.0011904237389496325
comprises,0.0011903337270558968
2006 from,0.0011903244256799696
american,0.0011902836451066342
in india,0.0011897788723986534
customers in,0.0011892767645059696
remain,0.0011891860417186395
oy and,0.0011888301773895294
central,0.0011887841753251737
and sales,0.0011875326555552362
excluding non,0.0011871073656419618
its financial,0.0011870518440639257
designs,0.001186397782050926
nordea,0.0011862555988477073
exchange in,0.0011854163422261644
one of,0.0011848921972945176
companies,0.0011841798103186816
from loss,0.0011834067657398738
interest income,0.0011832817126022608
annual general,0.001182706197555884
euros,0.0011807722943019431
director of,0.0011806769376599582
data,0.001177701225102713
companies including,0.001177596553592191
application,0.0011766556915622363
37,0.0011764985118886053
performance,0.0011758341534908179
online,0.0011757078501500894
million euros,0.0011752753266677204
upon,0.001173325469706433
financial details,0.00117268447647198
the lithuanian,0.0011724573214001949
has awarded,0.0011714979351963594
ship,0.0011709449820339864
mn and,0.0011705211711752184
manufacturer,0.0011701415492718773
mobile and,0.0011701092146445089
panostaja,0.001169105169979292
sanoma,0.001168253097061198
received,0.0011682109312502876
global research,0.0011677789407985469
energy,0.0011670671985090858
shares to,0.0011659750017791921
were not,0.0011656166115832688
siemens,0.0011647237669820023
return on,0.0011640930421352887
of this,0.0011639317684210128
from year,0.0011625840377912408
company net,0.0011623953855494677
headquarters,0.001161796884393599
rise to,0.0011614870070497563
19,0.0011606178572360982
to loss,0.0011604397986446865
to improve,0.0011580856258140502
outlook,0.001157369250310238
focus,0.0011557759776100979
23,0.0011550140934481411
voice,0.0011533179157695193
