feature,importance
bã rse,0.0007383370120909972
teams with,0.0007381937239546464
femsa,0.0007378823849489643
with lehman,0.0007376333643767906
goldman,0.0007374791360701293
escape,0.0007373577203932845
gas,0.0007370514355501721
still,0.0007369560004445055
after barclays,0.0007365231665842544
are arm,0.0007363070646819239
passenger,0.0007359124563679584
reports from,0.0007357902912129496
receives reports,0.000735439393494426
with kirin,0.0007354151775020393
springleaf,0.0007353681498854785
passenger numbers,0.0007353350105834547
fresh,0.0007351691250896979
plc domino,0.0007342040635264759
allan,0.000733805304827934
numbers,0.0007336144867538519
comcast nbcuniversal,0.0007331549854708326
working,0.0007325193847354692
insurance group,0.000732061765304346
firm,0.0007319247692758118
eu drops,0.0007317532147223346
trader,0.0007313494196773504
san,0.0007313106321699947
gazprom statoil,0.0007304480184946187
march of,0.0007299645903594213
easyjet passenger,0.0007297744345419612
deals with,0.0007297668953911508
astrazeneca teams,0.0007296700831880523
investigation,0.0007292807999169224
escape capital,0.0007288591330712751
ades,0.0007284003469114462
with stanchart,0.000728145045044107
gazprom,0.0007280829341109005
to springleaf,0.0007280825592129798
today news,0.0007273940713047994
contract,0.0007269186794187054
dividends,0.0007265582359027239
adds,0.0007264666652246125
brief,0.0007264663706021526
shell bp,0.0007264533230298067
ahead as,0.0007263240910924212
aims,0.0007261265724184927
receives,0.0007260881599528993
raising in,0.0007259821804430622
astrazeneca to,0.0007257122983390207
bids,0.0007251943261528637
agency,0.0007249961547795574
springleaf for,0.0007248989095020509
from ethanol,0.0007248116766898978
england,0.0007247763306655846
rse,0.0007246456082087563
if,0.000724183219811516
25,0.0007238729120359449
sachs,0.0007236873574319252
company and,0.0007236540255521934
not,0.000722729223746681
stanchart and,0.0007226650280157833
capital,0.000722219594392585
asda sales,0.0007221338402779137
leads,0.000722019825542432
allan in,0.000721923237042693
cola,0.000721800669237818
admiral group,0.0007214103388286608
core bank,0.0007197815696281943
settling,0.0007195841186334158
leap in,0.0007195820619303396
cash,0.0007193711866378543
market,0.0007190973243774581
has blockchain,0.0007187513670665514
barclays hsbc,0.0007185930265709262
auto trader,0.0007176664935715673
tata,0.0007176147159366544
if it,0.000717555743966034
sachs barclays,0.000717469140283727
pizza,0.0007168389956940949
philippines,0.0007159789743391996
aviva plc,0.0007147771226509047
estates,0.0007146288357800367
serco set,0.0007146180658128821
largest,0.0007145777929275733
traffic,0.0007143830165842163
city,0.0007141173902025324
hot,0.0007137530792029528
are aviva,0.0007134787438436861
third,0.00071329765489311
dunelm group,0.0007130211710979942
frame,0.0007127778355084925
the frame,0.0007127211359080485
majority,0.0007122756376628557
beers,0.0007120830789135441
coca cola,0.0007113906187545893
tank,0.0007112532136462381
plc direct,0.0007112382456475086
nbcuniversal,0.0007110626097832446
foods plc,0.0007105490583104062
win,0.0007094555085963551
roy,0.0007094269356638541
full year,0.0007094221816819486
direct line,0.0007091107859459443
divide,0.0007088645432062811
source,0.0007088613388259076
books,0.0007086839494751841
traffic up,0.0007083414698703519
with gazprom,0.0007082732735450478
involving,0.00070822846315437
of america,0.0007079958343470621
abandons video,0.0007078131734312178
ge,0.0007075487766233489
in sight,0.0007074814512112732
sales up,0.0007073710031485758
working with,0.0007072186046884491
barclays expects,0.0007070617238192654
estates plc,0.0007068389942935039
breaks,0.0007065167236867669
appoint roy,0.0007064994625137892
up in,0.0007064480424799033
hsbc ubs,0.0007062751881854467
100 billion,0.0007058344994774196
jumps as,0.0007052366759955919
tata steel,0.000704719122823796
grolsch,0.0007045314296982604
british foods,0.0007044601918953042
sales boosted,0.0007040507313295699
america,0.0007036613994647399
recovery continues,0.0007033757661733829
steel working,0.0007033051309101308
associated british,0.0007031816505403028
and dunelm,0.0007027923281879077
bph,0.000702686643302786
asahi,0.0007026692076171167
deal for,0.0007025260482325043
coca,0.0007025099418977506
soy,0.0007019705769160885
ftse 100,0.0007017209183655411
rbs struggle,0.0007016750914800056
femsa to,0.0007010042525644316
closes in,0.0007009394985949524
settling with,0.0007008817818544893
slide,0.0007008468857544223
70 billion,0.0007004064707210597
above 10,0.0007002471132074999
inovio,0.000700239139740431
with daiichi,0.0006999379946907396
portland estates,0.0006993509874748063
and barclays,0.0006991512328326784
25 billion,0.0006980156692008704
have growth,0.0006978734646752308
to takeover,0.0006975808208069924
barclays tank,0.0006970621261385233
quarterly,0.0006969944179344044
capital raising,0.0006969812802636506
acquire,0.0006969695801896728
ades soy,0.0006963196445231696
press,0.0006959778386513606
perkins,0.0006958636361442316
listing,0.0006956321414326625
tesco closes,0.0006951632435667882
lingus traffic,0.0006934429951576484
dunelm,0.0006934213706390479
citigroup has,0.0006927690857816298
centrica as,0.0006926801045638897
to secure,0.0006925716447372067
deutsche bã,0.0006925172428861568
boosted by,0.000692483791711393
says to,0.0006923881448199808
tests,0.000692152267262526
and debenhams,0.0006920544361794848
to soar,0.0006919823575286443
city with,0.0006910389970456348
ft,0.0006910206203851367
for 25,0.0006910044981130146
movers lse,0.0006908324952768556
stock,0.000690743414579909
continue,0.0006904420979524932
trustee,0.0006899789768217885
irregularities,0.0006898656947536148
uk unit,0.0006889027036796887
david,0.0006887606862443973
shares jump,0.0006886666451820535
18,0.0006882729906537482
report of,0.0006879573150624173
fee,0.0006879279795514619
reshape,0.000687886882181386
bros,0.0006875637580096357
emerging markets,0.0006869619416669515
downplay,0.000686649375442509
ge to,0.000686436178631459
on new,0.0006857786045200829
group share,0.0006852680744836354
steel,0.0006852224358932075
america citigroup,0.000685053740831399
settles oil,0.000685016895719972
core,0.000684634292088479
rbs escape,0.0006845011564566523
of comcast,0.000683960274405582
wood group,0.0006839503364889478
lehman bros,0.0006832012891029168
domino,0.000681215638925303
alior,0.0006811595071992412
the us,0.0006808710406622464
new chairman,0.0006808069317249869
chairman with,0.0006806339752881662
