date,industry,sent_mean
2025-06-08,Technology,1.0
2025-06-09,Services,-1.0
2025-06-09,Technology,0.6666666666666666
2025-06-10,Communication Services,0.3333333333333333
2025-06-10,Consumer Cyclical,0.25
2025-06-10,Energy,1.0
2025-06-10,Financial Services,0.5
2025-06-10,Healthcare,0.3333333333333333
2025-06-10,Industrials,0.6666666666666666
2025-06-10,Real Estate,1.0
2025-06-10,Services,0.0
2025-06-10,Technology,0.6
2025-06-10,Utilities,1.0
2025-06-11,Consumer Cyclical,0.0
2025-06-11,Technology,0.4444444444444444
2025-06-12,Financial Services,-1.0
2025-06-12,Technology,0.6
2025-06-13,Financial Services,1.0
2025-06-13,Industrials,-1.0
2025-06-13,Technology,-0.25
2025-06-14,Consumer Cyclical,0.0
2025-06-14,Technology,0.4
2025-06-15,Communication Services,1.0
2025-06-15,Energy,-1.0
2025-06-15,Technology,0.0
2025-06-16,Communication Services,-1.0
2025-06-16,Consumer Cyclical,1.0
2025-06-16,Technology,0.2
2025-06-17,Communication Services,0.2
2025-06-17,Consumer Cyclical,0.3333333333333333
2025-06-17,Energy,1.0
2025-06-17,Financial Services,0.6666666666666666
2025-06-17,Healthcare,0.6666666666666666
2025-06-17,Industrials,1.0
2025-06-17,Real Estate,1.0
2025-06-17,Services,-0.6666666666666666
2025-06-17,Technology,0.75
2025-06-17,Utilities,1.0
2025-06-18,Consumer Cyclical,0.0
2025-06-18,Energy,1.0
2025-06-18,Healthcare,-1.0
2025-06-18,Technology,0.4
2025-06-19,Technology,0.3333333333333333
2025-06-20,Communication Services,-1.0
2025-06-20,Healthcare,0.0
2025-06-20,Technology,-0.09090909090909091
2025-06-21,Communication Services,1.0
2025-06-21,Technology,0.3333333333333333
2025-06-22,Technology,1.0
2025-06-23,Healthcare,1.0
2025-06-23,Services,-1.0
2025-06-23,Technology,0.5
2025-06-24,Communication Services,0.0
2025-06-24,Consumer Cyclical,0.0
2025-06-24,Energy,0.6666666666666666
2025-06-24,Financial Services,0.0
2025-06-24,Healthcare,0.3333333333333333
2025-06-24,Industrials,-0.5
2025-06-24,Real Estate,1.0
2025-06-24,Technology,0.38461538461538464
2025-06-24,Utilities,0.6666666666666666
2025-06-25,Communication Services,1.0
2025-06-25,Consumer Cyclical,1.0
2025-06-25,Healthcare,-1.0
2025-06-25,Industrials,0.0
2025-06-25,Technology,0.4666666666666667
2025-06-26,Consumer Cyclical,1.0
2025-06-26,Healthcare,-1.0
2025-06-26,Technology,0.38461538461538464
2025-06-27,Financial Services,0.5
2025-06-27,Healthcare,1.0
2025-06-27,Technology,0.38461538461538464
2025-06-28,Financial Services,-1.0
2025-06-28,Industrials,1.0
2025-06-28,Services,0.0
2025-06-28,Technology,0.5
2025-06-29,Consumer Cyclical,-1.0
2025-06-29,Services,1.0
2025-06-29,Technology,0.14285714285714285
2025-06-30,Consumer Cyclical,1.0
2025-06-30,Technology,1.0
2025-07-01,Communication Services,0.3333333333333333
2025-07-01,Consumer Cyclical,0.3333333333333333
2025-07-01,Energy,0.6666666666666666
2025-07-01,Financial Services,1.0
2025-07-01,Healthcare,0.3333333333333333
2025-07-01,Industrials,0.0
2025-07-01,Real Estate,0.3333333333333333
2025-07-01,Utilities,1.0
