method,frac_removed,prob,example_idx
LIME,0.5,0.02063724584877491,4
LIME,0.0,0.029011577367782593,5
LIME,0.1,0.02935488522052765,5
LIME,0.3,0.026058821007609367,5
LIME,0.5,0.029455389827489853,5
LIME,0.0,0.49279171228408813,6
LIME,0.1,0.8413719534873962,6
LIME,0.3,0.0410890057682991,6
LIME,0.5,0.031025249511003494,6
LIME,0.0,0.09227622300386429,7
LIME,0.1,0.16319526731967926,7
LIME,0.3,0.135793998837471,7
LIME,0.5,0.065426304936409,7
LIME,0.0,0.9153445959091187,8
LIME,0.1,0.7979826927185059,8
LIME,0.3,0.7268999218940735,8
LIME,0.5,0.9549716114997864,8
LIME,0.0,0.8559039831161499,9
LIME,0.1,0.9366565346717834,9
LIME,0.3,0.9383798241615295,9
LIME,0.5,0.9425368309020996,9
LIME,0.0,0.03417808562517166,10
LIME,0.1,0.037958774715662,10
LIME,0.3,0.03381914272904396,10
LIME,0.5,0.030308542773127556,10
LIME,0.0,0.017777729779481888,11
LIME,0.1,0.015366682782769203,11
LIME,0.3,0.01787164993584156,11
LIME,0.5,0.012820077128708363,11
LIME,0.0,0.8012796640396118,12
LIME,0.1,0.23142237961292267,12
LIME,0.3,0.09227100759744644,12
LIME,0.5,0.20385901629924774,12
LIME,0.0,0.8328666687011719,13
LIME,0.1,0.9359620809555054,13
LIME,0.3,0.9329656958580017,13
LIME,0.5,0.9315955638885498,13
LIME,0.0,0.06293924152851105,14
LIME,0.1,0.06715696305036545,14
LIME,0.3,0.06695319712162018,14
LIME,0.5,0.05046869069337845,14
LIME,0.0,0.3385641276836395,15
LIME,0.1,0.5442497134208679,15
LIME,0.3,0.5882037281990051,15
LIME,0.5,0.34623491764068604,15
LIME,0.0,0.9113973379135132,16
LIME,0.1,0.1909116804599762,16
LIME,0.3,0.6005383729934692,16
LIME,0.5,0.5687270760536194,16
LIME,0.0,0.055107198655605316,17
LIME,0.1,0.08888257294893265,17
LIME,0.3,0.10735887289047241,17
LIME,0.5,0.08276330679655075,17
LIME,0.0,0.036169398576021194,18
LIME,0.1,0.022214528173208237,18
LIME,0.3,0.014565467834472656,18
LIME,0.5,0.0107777314260602,18
LIME,0.0,0.09313605725765228,19
LIME,0.1,0.40206363797187805,19
LIME,0.3,0.8214747905731201,19
LIME,0.5,0.218282088637352,19
LIME,0.0,0.14034026861190796,20
LIME,0.1,0.16077199578285217,20
LIME,0.3,0.19633057713508606,20
LIME,0.5,0.41668087244033813,20
LIME,0.0,0.04702557250857353,21
LIME,0.1,0.07417042553424835,21
LIME,0.3,0.061511315405368805,21
LIME,0.5,0.10221686959266663,21
LIME,0.0,0.014384971000254154,22
LIME,0.1,0.022354600951075554,22
LIME,0.3,0.013564389199018478,22
LIME,0.5,0.012570220045745373,22
LIME,0.0,0.1403927505016327,23
LIME,0.1,0.11729229986667633,23
LIME,0.3,0.17854347825050354,23
LIME,0.5,0.258088082075119,23
LIME,0.0,0.03452764078974724,24
LIME,0.1,0.042037658393383026,24
LIME,0.3,0.06560420989990234,24
LIME,0.5,0.09717748314142227,24
